video, title, thumbnail, description, hosted_at, flight_start_time, flight_end_time, labels,  metadata:type_1,  metadata:type_2,  metadata:type_3, embed_code, id
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632762654_George-Michael-Returns.flv,George Michael fans react to the pop singer's return,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1632770492_asset-1214541877446.jpg?pubId=1614694952,Pop superstar George Michael returns for his first concert tour in nearly 20 years. This is how fans reacted during his first concert in San Diego. Video by Daily News staff writer Justino Aguila.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632762654_George-Michael-Returns.flv,2008-06-26T05:58:36-0500,null,/music;/George Michael,music,George Michael,,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1632694553' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1632694553
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632762586_SEIU-bus-ride.flv,LAUSD employees protest budget cuts,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1632795233_asset-1214542021546.jpg?pubId=1614694952,On June 25. a midnight bus ride took 150 LAUSD employees to the state Capitol. where the members of the Service Employees International Union arranged to meet with legislators to protest state budget cuts. This is what happened.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632762586_SEIU-bus-ride.flv,2008-06-26T05:53:00-0500,null,/SEIU;/California;/LAUSD,SEIU,California,LAUSD,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1632758560' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1632758560
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632762703_all-stargame.flv,East-West All-Star Game,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1632770495_asset-1214542109230.jpg?pubId=1614694952,East-West All-Star Football Game,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632762703_all-stargame.flv,2008-07-15T04:33:54-0500,null,/,,,,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1632758675' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1632758675
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632738938_NEW-ABDULLAH.flv,Freeway off-ramp musician,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1632774462_asset-1214541913715.jpg?pubId=1614694952,91-year-old street musician Ahmed Abdullah plays his clarinet at the Canoga Boulevard off-ramp of the Ventura (101) Freeway in Woodland Hills.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1632738938_NEW-ABDULLAH.flv,2008-06-26T06:01:32-0500,null,/street musicians;/clarinet,street musicians,clarinet,,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1632763572' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1632763572
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1634744694_DINO-tb.flv,Walking with Dinosaurs,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1634735272_DINO-tb-thumb.jpg?pubId=1614694952,Walking with the Dinosaurs promotion at Staples Center.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1634744694_DINO-tb.flv,2008-06-26T06:01:32-0500,null,/walking;/dinosaurs;/staples center;/Los Angeles,walking,dinosaurs,staples center,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1634709660' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1634709660
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1636622902_beer.flv,Allied Beverages distribution center. Sylmar,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1636586602_beer.jpg?pubId=1614694952,Tour of the recently opened Allied Beverages distribution center in Sylmar.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1636622902_beer.flv,2008-06-26T06:01:32-0500,null,/distribution;/business;/allied beverages;/sylmar,distribution,business,allied beverages,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1636622275' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1636622275
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1641868017_cell-phone.flv,CHPs hands-free cell-phone enforcement,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1641868053_Cell-thumb.jpg?pubId=1614694952,The Daily News rides along with the California Highway Patrol for the first day of enforcement of the state's new hands-free cell-phone law.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1641868017_cell-phone.flv,2008-07-01T07:46:00-0500,null,/bluetooth;/cell phone,bluetooth,cell phone,,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1641808056' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1641808056
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1644047520_LAPDVanNuys.flv,LAPD Domestic Violence ride-along,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1644064391_LAPDVanNuys-thumb.jpg?pubId=1614694952,The Daily News rides along with Gail Pincus and LAPD Officer Jesus Miranda on a domestic violence call.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1644047520_LAPDVanNuys.flv,2008-07-01T07:46:00-0500,null,/Van Nuys;/LAPD;/police;/Domestic violence,Van Nuys,LAPD,police,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1644024818' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1644024818
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1646164232_fair.flv,Fair Avenue Elementary School,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1646164248_asset-1215129543163.jpg?pubId=1614694952,Daily News visits Fair Avenue Elementary School. which is striving to beat the odds.,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1646164232_fair.flv,2008-07-01T07:46:00-0500,null,/California;/school;/learning;/LAUSD;/kids;/education;/Los Angeles;/elementary,California,school,learning,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1646070985' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1646070985
http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1653781015_GuinessBook.flv,Sitting in every Rose Bowl seat,http://brightcove.vo.llnwd.net/e1/pd/1614694952/1614694952_1653740242_GuinessBookthumb.jpg?pubId=1614694952,Jim Mouth. the "super stadium sitter." currently holds 22 Guinness Book of World Records marks. and is trying for his 23rd this week when he attempts to sit in every one of the 92.542 seats in the Rose Bowl,http://brightcove.vo.llnwd.net/e1/uds/pd/1614694952/1614694952_1653781015_GuinessBook.flv,2008-07-07T04:19:02-0500,null,/guinness book of world records;/Rose Bowl,guinness book of world records,Rose Bowl,,<!-- Start of Brightcove Player --><div style='display:none'></div><script language='JavaScript' type='text/javascript' src='http://admin.brightcove.com/js/BrightcoveExperiences.js'></script><object id='myExperience' class='BrightcoveExperience'><param name='bgcolor' value='#FFFFFF' /><param name='width' value='654' /><param name='height' value='410' /><param name='playerID' value='1653611904' /><param name='playerKey' value='' /><param name='isVid' value='true' /><param name='isUI' value='true' /><param name='dynamicStreaming' value='true' /></object><script type='text/javascript'>brightcove.createExperiences();</script><!-- End of Brightcove Player -->,1653611904
