video, title, thumbnail, description, hotsted_at, flight_start_time, flight_end_time, labels, metadata:type_1, metadata:type_2,   metadata:type_3, embed_code, id, video_length, video_size, total_plays
http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/25/21/10/20140225211029.1626350.mpg,Neshaminy's Bruce Graeber on winning district 285-LB title,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/25/21/35/moiajhpuereqmfruhmyg.jpg?co_id=471,Neshaminy sophomore Bruce Graeber on winning the District One 285-pound title. Bruce decisioned Pennridge senior Joe Kracz. 3-1 while the Rams came in 2nd and the Redskins. 3rd. Council Rock South won the team trophy.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/25/21/10/20140225211029.1626350.mpg?co_id=471,2014-02-25T21:35:26Z,1393362348633,/Neshaminy; /BruceGraeber; /district1; /wrestling; /sports_playlist,Wrestling,High School,,,7301554,108.633,56440832,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/17/13/39/20140217133951.7860210.mpg,Council Rock South battles Neshaminy in Feb 11 dual meet,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/17/13/47/skcnyfyuztbszoopnnmk.jpg?co_id=471,Council Rock South battles Neshaminy in 2014 dual meet Feb 11 at CR South. Northampton. PA. The Hawks won. 44-21.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/17/13/39/20140217133951.7860210.mpg?co_id=471,2014-02-17T13:47:42Z,1392644282488,/CouncilRockSouth; /wrestling; /Neshaminy; /sports_playlist,Wrestling,High School,,,7255399,122.488,32669696,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/15/17/44/20140215174414.9365220.mpg,Pennsbury's Derrick Woods on 81-68 win over Academy Park,http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/15/17/52/jcumapubebzkzspggvrt.jpg?co_id=471,Pennsbury junior Derrick Woods on 81-68 win over Academy Park in the 1st round of the District One-AAAA Tournament Feb. 14 in Falls Twp.. PA,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/15/17/44/20140215174414.9365220.mpg?co_id=471,2014-02-15T17:53:00Z,1392485877800,/Pennsbury; /DerrickWoods; /AcademyPark; /districtone; /basketball; /sports_playlist,Basketball,High School,,,7250864,237.8,94582784,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/15/16/45/20140215164552.5023440.mpg,Pennsbury's Courtney Bennett on East Stroudsburg commitment,http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/15/16/48/ysdfutumxzzxiuikdtoh.jpg?co_id=471,Pennsbury senior goalkeeper Courtney Bennett on commitment to East Stroudsburg University women's soccer.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/15/16/45/20140215164552.5023440.mpg?co_id=471,2014-02-15T16:48:43Z,1392482335667,/Pennsburysoccer; /CourtneyBennett; /EastStroudsburg; /sports_playlist,Soccer,High School,,,7250799,115.667,49211392,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/10/18/19/20140210181955.8055300.mpg,Council Rock North-CR South Boys Basketball,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/10/19/10/siyyvrwamtvommofsdmo.jpg?co_id=471,Council Rock North-CR South Boys Basketball Feb. 7. 2014 at CR North. Newtown. PA,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/10/18/19/20140210181955.8055300.mpg?co_id=471,2014-02-10T19:10:57Z,1392056310439,/CouncilRockNorth; /CRSouth; /BoysBasketball; /sports_playlist,Basketball,High School,,,7218730,150.439,41820160,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/08/14/02/20140208140256.7114900.mpg,Neshaminy's Nick Tucci on commitment to West Chester soccer,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/08/15/11/iioycwjgdhxfvipvfnbi.jpg?co_id=471,Neshaminy senior Nick Tucci on commitment to West Chester men's soccer. He and 14 additional Redskins announced their college intentions Feb. 7. 2014 at NHS.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/08/14/02/20140208140256.7114900.mpg?co_id=471,2014-02-08T15:12:00Z,1391867891200,/Neshaminy; /NickTucci; /WestChester; /men'ssoccer; /sports_playlist,Soccer,High School,,,7212972,131.2,50112512,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/08/13/22/20140208132234.4986580.mpg,Neshaminy's Bruce Graeber on Skins Feb. 7 win over Truman,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/08/13/56/zjdhejiabahklimvhtqz.jpg?co_id=471,Neshaminy sophomore Bruce Graeber on Redskins Feb. 7. 2014 win over Truman.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/08/13/22/20140208132234.4986580.mpg?co_id=471,2014-02-08T13:56:54Z,1391865446167,/Neshaminy; /BruceGraeber; /Truman; /wrestling; /sports_playlist,Wrestling,High School,,,7212919,146.167,75917312,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/03/19/09/20140203190917.8592090.mpg,Bristol's Pierson Burton on Jan 30 win over Faith Christian,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/03/19/44/zfyylfcqfmnabcoluejb.jpg?co_id=471,Bristol senior Pierson Burton on 73-43 win over Faith Christian Academy Jan 30. 2014 at Bristol High School. Bristol. PA.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/03/19/09/20140203190917.8592090.mpg?co_id=471,2014-02-03T19:45:07Z,1391454282900,/BristolHighSchool; /basketball; /FaithChristianAcademy; /PiersonBurton; /sports_playlist,Basketball,High School,,,7181283,102.9,53458944,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/02/19/38/20140202193857.0330340.mpg,Council Rock South swimming Jan. 28 vs. Upper Moreland,http://video-static.clipsyndicate.com/zStorage/syndicaster2/244/2014/02/02/19/43/ubglcorhhnlqpkarmypi.jpg?co_id=471,Council Rock South swimming Jan. 28 vs. Upper Moreland,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/02/19/38/20140202193857.0330340.mpg?co_id=471,2014-02-02T19:43:44Z,1391369767007,/CouncilRockSouth; /swimming; /UpperMoreland; /sports_playlist,Swimming,High School,,,7177789,127.007,37345280,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/01/17/49/20140201174933.9988390.mpg,Will Desautelle on CR North's Jan 31 win over Bensalem,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/01/19/10/vtdgdhounhlylkbsmuhu.jpg?co_id=471,Council Rock North sophomore Will Desautelle on Indians win over Bensalem Jan. 31. 2014 in Newtown. PA,http://video-static.clipsyndicate.com/zStorage/syndicaster2/226/2014/02/01/17/49/20140201174933.9988390.mpg?co_id=471,2014-02-01T19:10:33Z,1391276686400,/CouncilRockNorth; /basketball; /Bensalem; /WillDesautelle; /sports_playlist,Basketball,High School,,,7175543,106.4,46985216,
